Codigo|Produtos|Codigo.Fiscal Regime Simples|Codigo.Fiscal Regime Normal|NCM|CST ICMS|CST PIS/ COFINS NA ENTRADA|CST PIS/ COFINS NA SAÍDA|CFOP
4181|PAP 21 ALM P/2 LADO 70CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4182|PAP 21 ALM P/2 LADO 80CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4225|PAP 29 ALM P/1 LADO 60CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4226|PAP 29 ALM P/1 LADO 70CM|44188200.5405.0500.0000|44188200.5405.0060.0000|4418.20.00|00|50|01|5102
UI|PAP 29 ALM P/2 LADO 80CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4228|PAP 29 - 60CM|44188200.5405.0500.0000|44188200.5405.0060.0000|4418.20.00|00|50|01|5102
4229|PAP 29 ALM P/2 LADO 70CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4230|PAP 29 ALM P/1 LADO 80CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4237|PAP 31 ALM P/1 LADO 60CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4238|PAP 31 ALM P/1 LADO 70CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4239|PAP 31 ALM P/1 LADO 80CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4240|PAP 31 ALM P/2 LADO 60CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4241|PAP 31 ALM P/2 LADO 70CM|44188200.5405.0500.0000|44188200.5405.0060.0000|4418.20.00|00|50|01|5102
4242|PAP 31 ALM P/2 LADO 80CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4243|PAP 32 ALM P/1 LADO 60CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4244|PAP 32 ALM P/1 LADO 70CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4245|PAP 32 ALM P/1 LADO 80CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4246|PAP 32 ALM P/2 LADO 60CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4247|PAP 32 ALM P/2 LADO 70CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4248|PAP 32 ALM P/2 LADO 80CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4345|PARADOR PRATICO|39259000.5405.0500.0000|39259000.5405.0060.0000|3925.90.90|60|50|01|5405
