  3634/4 - ABRACADEIRA PRETA T14 35CM                         |1021|0.35|0.39|0.4|0.35|0|0
  3633/7 - ABRACADEIRA PRETA T6 15X3,2                        |808|0.1|0.11|0.1|0.1|0|0
  7677/7 - ABRACADEIRA ROSCA S/FIM 1/2X3/4 9MM                |0|1.75|1.92|2.1|1.75|0|0
  6896/3 - ABRACADEIRA ROSCA S/FIM 2 3/8X3 1/8 9MM            |60|2.3|2.53|2.76|2.3|0|0
  7678/4 - ABRACADEIRA ROSCA S/FIM 5/8X1 9MM                  |0|1.85|2.03|2.22|1.85|0|0
  2496/9 - ABRACADEIRA U 1                                    |29|0.8|0.88|1|0.8|0|0
  2509/6 - ABRACADEIRA U 1 1/2                                |169|1.5|1.65|1.8|1.5|0|0
  2513/3 - ABRACADEIRA U 1 1/4                                |19|0.87|0.97|1|0.87|0|0
  3376/3 - ABRACADEIRA U 1/2                                  |      16- |0.67|0.74|0.8|0.67|0|0
  1428/1 - ABRACADEIRA U 100                                  |     120- |3.44|3.78|4.1|3.44|0|0
  2514/0 - ABRACADEIRA U 2                                    |47|1.23|1.35|1.46|1.23|0|0
  2500/3 - ABRACADEIRA U 3                                    |44|2|2.2|2.4|2|0|0
  7446/9 - ABRACADEIRA U 3 1/2                                |4|22.38|24.62|26.86|22.38|0|0
  2502/7 - ABRACADEIRA U 3/4                                  |     114- |0.6|0.66|0.72|0.6|0|0
  2504/1 - ABRACADEIRA U 4                                    |     104- |3.23|3.55|3.9|3.23|0|0
  1426/7 - ABRACADEIRA U 50                                   |      11- |1.5|1.65|1.8|1.5|0|0
  1427/4 - ABRACADEIRA U 75                                   |      44- |2|2.2|2.4|2|0|0
  2776/2 - ABRE ROSCA 1 1/2                                   |3|26.9|29.59|32.3|26.9|0|0
  3014/4 - ABRE ROSCA 1 1/4                                   |7|21|23.1|25.2|21|0|0
  2777/9 - ABRE ROSCA 1/2                                     |0|7.6|8.36|9.1|7.6|0|0
  2778/6 - ABRE ROSCA 3/4                                     |0|8.5|9.35|10.2|8.5|0|0
  6451/4 - ACAB COMPLETO C25 HIDROPOL                         |80|14|15.4|16.8|14|0|0
  6764/5 - ACAB. BORRACHA P/ TUBO 1 1/2" EXT.                 |39|3.5|3.85|4.2|3.5|0|0
  6763/8 - ACAB. BORRACHA P/ TUBO 1 1/4" EXT.                 |14|2.75|3.03|3.3|2.75|0|0
  6762/1 - ACAB. BORRACHA P/ TUBO 1" EXT.                     |       8- |2.5|2.74|3|2.5|0|0
  7000/3 - ACAB. BORRACHA P/ TUBO 2 EXT.                      |6|7|7.7|8.4|7|0|0
  6793/5 - ACAB. BORRACHA P/ TUBO 20X20                       |       8- |3|3.3|3.6|3|0|0
  6765/2 - ACAB. BORRACHA P/ TUBO 25X25                       |0|3|3.3|3.6|3|0|0
  6791/1 - ACAB. BORRACHA P/ TUBO 3/4 EXT.                    |17|2|2.18|2.4|2|0|0
  6794/2 - ACAB. BORRACHA P/ TUBO 30X30                       |30|3.4|3.74|4.08|3.4|0|0
  6795/9 - ACAB. BORRACHA P/ TUBO 40X40                       |       8- |8|8.8|9.6|8|0|0
